what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1443010997062
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1443010997062
os,sysinfo,,,"win32",1443010997077
arch,sysinfo,,,"x86_64",1443010997077
ws,sysinfo,,,"win32",1443010997077
locale,sysinfo,,,"fr_FR",1443010997077
processors,sysinfo,,,"4",1443010997077
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1443010997077
java.runtime.version,sysinfo,,,"1.8.0_40-b26",1443010997077
java.specification.name,sysinfo,,,"Java Platform API Specification",1443010997077
java.specification.vendor,sysinfo,,,"Oracle Corporation",1443010997077
java.specification.version,sysinfo,,,"1.8",1443010997077
java.vendor,sysinfo,,,"Oracle Corporation",1443010997077
java.version,sysinfo,,,"1.8.0_40",1443010997077
java.vm.info,sysinfo,,,"mixed mode",1443010997077
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1443010997077
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1443010997077
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1443010997077
java.vm.specification.version,sysinfo,,,"1.8",1443010997077
java.vm.vendor,sysinfo,,,"Oracle Corporation",1443010997077
java.vm.version,sysinfo,,,"25.40-b25",1443010997077
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443011002266
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443011097605
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1443011097621
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1443011098611
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1443011098626
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1443011098658
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1443011098673
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443011101534
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443011103196
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443011103491
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443011107150
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443011107163
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443011121127
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443011124297
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443011173415
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1443011173431
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443011176474
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443011432906
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443011436096
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.exit",1443011436366
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1443011436448
stopped,bundle,org.eclipse.emf.eef.codegen.ecore,1.0.2.v20120216-1513,"org.eclipse.emf.eef.codegen.ecore",1443011436451
stopped,bundle,org.eclipse.emf.eef.codegen,1.0.2.v20120216-1513,"org.eclipse.emf.eef.codegen",1443011436454
stopped,bundle,org.eclipse.mylyn.pde.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.pde.ui",1443011436456
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1443011436460
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20111213-1754,"org.eclipse.pde.ds.ui",1443011436462
stopped,bundle,com.soyatec.eemf,3.7.1.20110624,"com.soyatec.eemf",1443011436465
stopped,bundle,com.soyatec.additional,3.7.1.20110624,"com.soyatec.additional",1443011436468
stopped,bundle,com.soyatec.core,3.7.1.20110624,"com.soyatec.core",1443011436472
stopped,bundle,org.eclipse.pde.runtime,3.4.201.v20110928-1516,"org.eclipse.pde.runtime",1443011436480
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20110516,"org.eclipse.pde.ua.ui",1443011436484
stopped,bundle,org.eclipse.pde.ui.templates,3.4.400.v20110928-1516,"org.eclipse.pde.ui.templates",1443011436488
stopped,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1443011436488
stopped,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1443011436492
stopped,bundle,org.eclipse.ant.launching,1.0.101.v20120110-1739,"org.eclipse.ant.launching",1443011436495
stopped,bundle,org.eclipse.compare.win32,1.0.200.I20110510-0800,"org.eclipse.compare.win32",1443011436497
stopped,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1443011436498
stopped,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1443011436498
stopped,bundle,org.eclipse.emf.compare.ui,1.2.2.v20120214-0915,"org.eclipse.emf.compare.ui",1443011436501
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1443011436504
stopped,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1443011436506
stopped,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1443011436510
stopped,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1443011436513
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20110305-1450,"org.eclipse.jdt.apt.ui",1443011436515
stopped,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1443011436518
stopped,bundle,com.soyatec.diagrams,3.7.1.20110624,"com.soyatec.diagrams",1443011436521
stopped,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1443011436524
stopped,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1443011436525
stopped,bundle,org.eclipse.emf.cdo.ui.ide,4.0.0.v20110607-1031,"org.eclipse.emf.cdo.ui.ide",1443011436528
